understat_id,understat_name
83,Arsenal
71,Aston Villa
73,Bournemouth
244,Brentford
220,Brighton
92,Burnley
227,Cardiff
80,Chelsea
78,Crystal Palace
72,Everton
228,Fulham
219,Huddersfield
91,Hull
285,Ipswich
245,Leeds
75,Leicester
87,Liverpool
256,Luton
88,Manchester City
89,Manchester United
93,Middlesbrough
86,Newcastle United
79,Norwich
249,Nottingham Forest
238,Sheffield United
74,Southampton
85,Stoke
77,Sunderland
84,Swansea
82,Tottenham
90,Watford
76,West Bromwich Albion
81,West Ham
229,Wolverhampton Wanderers
